city,state,category,NumberOfRestaurants
Ahwatukee,AZ,Italian,2
Ajax,ON,"American (New)",1
Ajax,ON,"American (Traditional)",12
Ajax,ON,Cajun/Creole,1
Ajax,ON,"Canadian (New)",7
Ajax,ON,Chinese,10
Ajax,ON,Halal,5
Ajax,ON,Indian,7
Ajax,ON,Italian,10
Ajax,ON,Japanese,5
Ajax,ON,Malaysian,1
Ajax,ON,Mexican,5
Ajax,ON,"Middle Eastern",4
Ajax,ON,Pakistani,5
Ajax,ON,Thai,4
Ajax,ON,Vietnamese,6
Alex,30,French,1
"Allison Park",PA,"American (New)",6
"Allison Park",PA,"American (Traditional)",6
"Allison Park",PA,Chinese,1
"Allison Park",PA,Italian,4
"Allison Park",PA,Japanese,2
"Allison Park",PA,Thai,1
Ambridge,PA,"American (New)",2
Ambridge,PA,"American (Traditional)",6
Ambridge,PA,Greek,2
Ambridge,PA,Italian,2
Amherst,OH,"American (New)",4
Amherst,OH,"American (Traditional)",9
Amherst,OH,Chinese,3
Amherst,OH,Greek,1
Amherst,OH,Italian,3
Amherst,OH,Japanese,1
Amherst,OH,Mexican,4
Anjou,QC,"American (Traditional)",1
Anjou,QC,"Canadian (New)",1
Anjou,QC,French,1
Anjou,QC,Italian,2
Anthem,AZ,"American (New)",2
Anthem,AZ,"American (Traditional)",1
Anthem,AZ,Chinese,1
Anthem,AZ,French,1
Anthem,AZ,Greek,1
Anthem,AZ,Italian,2
Anthem,AZ,Mexican,2
Argos,IN,"American (Traditional)",1
Arnold,PA,Chinese,1
Arnold,PA,Italian,2
Aspinwall,PA,Italian,1
"Auburn Township",OH,Italian,1
"Auburn Twp",OH,"American (New)",1
Aurora,OH,"American (New)",9
Aurora,OH,"American (Traditional)",8
Aurora,OH,Chinese,3
Aurora,OH,Greek,1
Aurora,OH,Indian,2
Aurora,OH,Italian,4
Aurora,OH,Japanese,1
Aurora,OH,Mexican,2
Aurora,OH,Pakistani,1
Aurora,ON,"American (Traditional)",13
Aurora,ON,Cajun/Creole,1
Aurora,ON,"Canadian (New)",10
Aurora,ON,Chinese,10
Aurora,ON,French,1
Aurora,ON,Greek,5
Aurora,ON,Halal,1
Aurora,ON,Indian,1
Aurora,ON,Italian,6
Aurora,ON,Japanese,10
Aurora,ON,Korean,1
Aurora,ON,Malaysian,1
Aurora,ON,Mexican,4
Aurora,ON,"Middle Eastern",4
Aurora,ON,Singaporean,1
Aurora,ON,Thai,4
Aurora,ON,Vietnamese,1
Avalon,PA,Italian,2
Avon,OH,"American (New)",9
Avon,OH,"American (Traditional)",14
Avon,OH,Chinese,3
Avon,OH,French,1
Avon,OH,Halal,1
Avon,OH,Italian,6
Avon,OH,Japanese,1
Avon,OH,Mexican,3
Avon,OH,"Middle Eastern",1
Avon,OH,Turkish,2
"Avon Lake",OH,"American (New)",7
"Avon Lake",OH,"American (Traditional)",11
"Avon Lake",OH,Chinese,5
"Avon Lake",OH,Greek,1
"Avon Lake",OH,Italian,6
"Avon Lake",OH,Mexican,5
"Avon Lake",OH,Thai,1
Avondale,AZ,"American (New)",8
Avondale,AZ,"American (Traditional)",19
